CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
36435	39143	15	0.9385	-88.053
36528	39143	15	0.9654	-44.026
28177	39143	15	0.9386	-36.895
30564	34794	15	0.9104	0.076
46364	56823	15	0.9426	2.015
56662	56823	15	0.8918	-25.980
64895	67189	15	0.8923	44.025
37053	56662	15	0.8751	27.959
68806	81854	15	0.853	144.079
34794	36435	15	0.9139	-44.026
36435	36528	15	0.9524	-44.026
28177	36435	15	0.9368	51.158
31805	36435	15	0.893	-28.986
70283	71610	15	0.9201	65.197
64226	71610	15	0.8936	83.208
76823	79285	15	0.8556	-190.062
21740	76823	15	0.8402	-65.124
65680	76823	15	0.8656	128.920
66094	76823	15	0.8452	151.026
71113	79285	15	0.8653	81.022
71409	79285	15	0.9064	95.038
65680	79285	15	0.871	-61.142
66094	79285	15	0.8997	-39.036
23004	27137	15	0.8976	-133.053
64226	64895	15	0.9538	14.016
64226	70283	15	0.9679	18.010
64895	70283	15	0.9622	3.995
28177	31805	15	0.8874	80.144
28177	34794	15	0.8952	95.184
28177	36528	15	0.9482	7.132
27137	34794	15	0.8405	-52.971
33951	46364	15	0.9192	-32.063
21740	32869	15	0.8616	11.005
31805	33951	15	0.9019	78.032
52743	71409	15	0.8411	-82.106
41101	65680	15	0.8618	-108.992
68340	70283	15	0.9527	-128.047
54870	65680	15	0.8432	-45.016
21740	79923	15	0.854	-29.125
21740	84061	15	0.8579	-57.156
66094	71113	15	0.8926	-120.058
66094	71409	15	0.9017	-134.074
79923	84061	15	0.9782	-28.031
31805	36528	15	0.9185	-73.013
71113	71409	15	0.9323	-14.016
34847	40640	17	0.9909	-176.105
36690	40640	17	0.9954	-132.079
37358	40640	17	0.9772	-193.131
38705	40640	17	0.9744	-149.105
39430	40640	17	0.9978	-88.053
39587	40640	17	0.9984	-44.026
40640	41809	17	0.9975	-44.026
40640	42247	17	0.9912	-88.052
36690	41809	17	0.9908	-176.105
38705	41809	17	0.9752	-193.131
39430	41809	17	0.9945	-132.079
39587	41809	17	0.9961	-88.052
41809	42247	17	0.9935	-44.026
33065	37358	17	0.9902	-88.053
34425	37358	17	0.994	-44.026
34847	37358	17	0.9745	17.026
36690	37358	17	0.9739	61.052
37358	38705	17	0.9884	-44.026
37358	39430	17	0.9751	-105.079
